Dataset,Generator Type,Discriminator Type,Activations,Optimizers,Learning Rate,accuracy
KDEF,VAE,ResNet 50,LeakyReLU,SGDM,1e-05,"0.7370517928286853
"
KDEF,VAE,ResNet 50,LeakyReLU,RMSProp,"1e-05
","0.649402390438247
"
KDEF,VAE,ResNet 50,LeakyReLU,RMSProp,"0.0001
","0.8645418326693227
"
KDEF,VAE,ResNet 50,LeakyReLU,Adam,"1e-05
","0.649402390438247
"
KDEF,VAE,ResNet 50,LeakyReLU,Adam,"0.0001
","0.8406374501992032
"
KDEF,VAE,ResNet 50,ClippedReLU,SGDM,1e-05,"0.7330677290836654
"
KDEF,VAE,ResNet 50,ClippedReLU,RMSProp,"1e-05
","0.5258964143426295
"
KDEF,VAE,ResNet 50,ClippedReLU,RMSProp,"0.0001
","0.7689243027888446
"
KDEF,VAE,ResNet 50,ClippedReLU,Adam,"1e-05
","0.450199203187251
"
KDEF,VAE,ResNet 50,ClippedReLU,Adam,"0.0001
","0.7370517928286853
"
KDEF,VAE,ResNet 50,ReLU,SGDM,1e-05,"0.7808764940239044
"
KDEF,VAE,ResNet 50,ReLU,RMSProp,"1e-05
","0.549800796812749
"
KDEF,VAE,ResNet 50,ReLU,RMSProp,"0.0001
","0.7609561752988048
"
KDEF,VAE,ResNet 50,ReLU,Adam,"1e-05
","0.545816733067729
"
KDEF,VAE,ResNet 50,ReLU,Adam,"0.0001
","0.7211155378486056
"
KDEF,VAE,AlexNet,LeakyReLU,SGDM,1e-05,"0.796812749003984
"
KDEF,VAE,AlexNet,LeakyReLU,RMSProp,"1e-05
","0.7370517928286853
"
KDEF,VAE,AlexNet,LeakyReLU,RMSProp,"0.0001
","0.8446215139442231
"
KDEF,VAE,AlexNet,LeakyReLU,Adam,"1e-05
","0.7689243027888446
"
KDEF,VAE,AlexNet,LeakyReLU,Adam,"0.0001
","0.7928286852589641
"
KDEF,VAE,AlexNet,ClippedReLU,SGDM,1e-05,"0.8127490039840638
"
KDEF,VAE,AlexNet,ClippedReLU,RMSProp,"1e-05
","0.7649402390438247
"
KDEF,VAE,AlexNet,ClippedReLU,RMSProp,"0.0001
","0.8207171314741036
"
KDEF,VAE,AlexNet,ClippedReLU,Adam,"1e-05
","0.7410358565737052
"
KDEF,VAE,AlexNet,ClippedReLU,Adam,"0.0001
","0.8446215139442231
"
KDEF,VAE,AlexNet,ReLU,SGDM,1e-05,"0.8087649402390438
"
KDEF,VAE,AlexNet,ReLU,RMSProp,"1e-05
","0.7848605577689243
"
KDEF,VAE,AlexNet,ReLU,RMSProp,"0.0001
","0.8087649402390438
"
KDEF,VAE,AlexNet,ReLU,Adam,"1e-05
","0.7808764940239044
"
KDEF,VAE,AlexNet,ReLU,Adam,"0.0001
","0.8605577689243028
"
KDEF,VAE,VGG 16,LeakyReLU,SGDM,1e-05,"0.8446215139442231
"
KDEF,VAE,VGG 16,LeakyReLU,RMSProp,"1e-05
","0.8007968127490039
"
KDEF,VAE,VGG 16,LeakyReLU,RMSProp,"0.0001
","0.8127490039840638
"
KDEF,VAE,VGG 16,LeakyReLU,Adam,"1e-05
","0.8167330677290837
"
KDEF,VAE,VGG 16,LeakyReLU,Adam,"0.0001
","0.8804780876494024
"
KDEF,VAE,VGG 16,ClippedReLU,SGDM,1e-05,"0.8286852589641435
"
KDEF,VAE,VGG 16,ClippedReLU,RMSProp,"1e-05
","0.7410358565737052
"
KDEF,VAE,VGG 16,ClippedReLU,RMSProp,"0.0001
","0.8605577689243028
"
KDEF,VAE,VGG 16,ClippedReLU,Adam,"1e-05
","0.7330677290836654
"
KDEF,VAE,VGG 16,ClippedReLU,Adam,"0.0001
","0.9083665338645418
"
KDEF,VAE,VGG 16,ReLU,SGDM,1e-05,"0.8207171314741036
"
KDEF,VAE,VGG 16,ReLU,RMSProp,"1e-05
","0.7410358565737052
"
KDEF,VAE,VGG 16,ReLU,RMSProp,"0.0001
","0.8725099601593626
"
KDEF,VAE,VGG 16,ReLU,Adam,"1e-05
","0.6972111553784861
"
KDEF,VAE,VGG 16,ReLU,Adam,"0.0001
","0.8804780876494024
"
KDEF,VAE,Original,LeakyReLU,SGDM,1e-05,"0.8804780876494024
"
KDEF,VAE,Original,LeakyReLU,RMSProp,"1e-05
","0.8565737051792829
"
KDEF,VAE,Original,LeakyReLU,RMSProp,"0.0001
","0.8884462151394422
"
KDEF,VAE,Original,LeakyReLU,Adam,"1e-05
","0.8685258964143426
"
KDEF,VAE,Original,LeakyReLU,Adam,"0.0001
","0.896414342629482
"
KDEF,VAE,Original,ClippedReLU,SGDM,1e-05,"0.852589641434263
"
KDEF,VAE,Original,ClippedReLU,RMSProp,"1e-05
","0.7928286852589641
"
KDEF,VAE,Original,ClippedReLU,RMSProp,"0.0001
","0.8406374501992032
"
KDEF,VAE,Original,ClippedReLU,Adam,"1e-05
","0.8286852589641435
"
KDEF,VAE,Original,ClippedReLU,Adam,"0.0001
","0.8565737051792829
"
KDEF,VAE,Original,ReLU,SGDM,1e-05,"0.8804780876494024
"
KDEF,VAE,Original,ReLU,RMSProp,"1e-05
","0.8087649402390438
"
KDEF,VAE,Original,ReLU,RMSProp,"0.0001
","0.8844621513944223
"
KDEF,VAE,Original,ReLU,Adam,"1e-05
","0.8007968127490039
"
KDEF,VAE,Original,ReLU,Adam,"0.0001
","0.848605577689243
"
KDEF,VAE,GoogleNet,LeakyReLU,SGDM,1e-05,"0.7290836653386454
"
KDEF,VAE,GoogleNet,LeakyReLU,RMSProp,"1e-05
","0.6095617529880478
"
KDEF,VAE,GoogleNet,LeakyReLU,RMSProp,"0.0001
","0.7569721115537849
"
KDEF,VAE,GoogleNet,LeakyReLU,Adam,"1e-05
","0.5816733067729084
"
KDEF,VAE,GoogleNet,LeakyReLU,Adam,"0.0001
","0.7808764940239044
"
KDEF,VAE,GoogleNet,ClippedReLU,SGDM,1e-05,"0.7250996015936255
"
KDEF,VAE,GoogleNet,ClippedReLU,RMSProp,"1e-05
","0.38247011952191234
"
KDEF,VAE,GoogleNet,ClippedReLU,RMSProp,"0.0001
","0.6972111553784861
"
KDEF,VAE,GoogleNet,ClippedReLU,Adam,"1e-05
","0.3665338645418327
"
KDEF,VAE,GoogleNet,ClippedReLU,Adam,"0.0001
","0.6613545816733067
"
KDEF,VAE,GoogleNet,ReLU,SGDM,1e-05,"0.7211155378486056
"
KDEF,VAE,GoogleNet,ReLU,RMSProp,"1e-05
","0.3545816733067729
"
KDEF,VAE,GoogleNet,ReLU,RMSProp,"0.0001
","0.749003984063745
"
KDEF,VAE,GoogleNet,ReLU,Adam,"1e-05
","0.3784860557768924
"
KDEF,VAE,GoogleNet,ReLU,Adam,"0.0001
","0.6932270916334662
"
KDEF,StyleGAN,ResNet 50,LeakyReLU,SGDM,0.0001,"0.8804780876494024
"
KDEF,StyleGAN,ResNet 50,LeakyReLU,RMSProp,0.0001,"0.8565737051792829
"
KDEF,StyleGAN,ResNet 50,LeakyReLU,Adam,0.0001,"0.848605577689243
"
KDEF,StyleGAN,ResNet 50,ClippedReLU,SGDM,0.0001,"0.6733067729083665
"
KDEF,StyleGAN,ResNet 50,ClippedReLU,RMSProp,0.0001,"0.8047808764940239
"
KDEF,StyleGAN,ResNet 50,ClippedReLU,Adam,0.0001,"0.701195219123506
"
KDEF,StyleGAN,ResNet 50,ReLU,SGDM,0.0001,"0.8764940239043825
"
KDEF,StyleGAN,ResNet 50,ReLU,RMSProp,0.0001,"0.8247011952191236
"
KDEF,StyleGAN,ResNet 50,ReLU,Adam,0.0001,"0.7848605577689243
"
KDEF,StyleGAN,AlexNet,LeakyReLU,SGDM,0.0001,"0.8924302788844621
"
KDEF,StyleGAN,AlexNet,LeakyReLU,RMSProp,0.0001,"0.7729083665338645
"
KDEF,StyleGAN,AlexNet,LeakyReLU,Adam,0.0001,"0.852589641434263
"
KDEF,StyleGAN,AlexNet,ClippedReLU,SGDM,0.0001,"0.8764940239043825
"
KDEF,StyleGAN,AlexNet,ClippedReLU,RMSProp,0.0001,"0.6733067729083665
"
KDEF,StyleGAN,AlexNet,ClippedReLU,Adam,0.0001,"0.8685258964143426
"
KDEF,StyleGAN,AlexNet,ReLU,SGDM,0.0001,"0.8844621513944223
"
KDEF,StyleGAN,AlexNet,ReLU,RMSProp,0.0001,"0.796812749003984
"
KDEF,StyleGAN,AlexNet,ReLU,Adam,0.0001,"0.8565737051792829
"
KDEF,StyleGAN,VGG 16,LeakyReLU,SGDM,0.0001,"0.9123505976095617
"
KDEF,StyleGAN,VGG 16,LeakyReLU,RMSProp,0.0001,"0.8326693227091634
"
KDEF,StyleGAN,VGG 16,LeakyReLU,Adam,0.0001,"0.8725099601593626
"
KDEF,StyleGAN,VGG 16,ClippedReLU,SGDM,0.0001,"0.900398406374502
"
KDEF,StyleGAN,VGG 16,ClippedReLU,RMSProp,0.0001,"0.8366533864541833
"
KDEF,StyleGAN,VGG 16,ClippedReLU,Adam,0.0001,"0.9043824701195219
"
KDEF,StyleGAN,VGG 16,ReLU,SGDM,0.0001,"0.896414342629482
"
KDEF,StyleGAN,VGG 16,ReLU,RMSProp,0.0001,"0.8844621513944223
"
KDEF,StyleGAN,VGG 16,ReLU,Adam,0.0001,"0.8764940239043825
"
KDEF,StyleGAN,Original,LeakyReLU,SGDM,0.0001,"0.9123505976095617
"
KDEF,StyleGAN,Original,LeakyReLU,RMSProp,0.0001,"0.9043824701195219
"
KDEF,StyleGAN,Original,LeakyReLU,Adam,0.0001,"0.896414342629482
"
KDEF,StyleGAN,Original,ClippedReLU,SGDM,0.0001,"0.896414342629482
"
KDEF,StyleGAN,Original,ClippedReLU,RMSProp,0.0001,"0.8286852589641435
"
KDEF,StyleGAN,Original,ClippedReLU,Adam,0.0001,"0.8645418326693227
"
KDEF,StyleGAN,Original,ReLU,SGDM,0.0001,"0.8725099601593626
"
KDEF,StyleGAN,Original,ReLU,RMSProp,0.0001,"0.8924302788844621
"
KDEF,StyleGAN,Original,ReLU,Adam,0.0001,"0.8605577689243028
"
KDEF,StyleGAN,GoogleNet,LeakyReLU,SGDM,0.0001,"0.8725099601593626
"
KDEF,StyleGAN,GoogleNet,LeakyReLU,RMSProp,0.0001,"0.7410358565737052
"
KDEF,StyleGAN,GoogleNet,LeakyReLU,Adam,0.0001,"0.8207171314741036
"
KDEF,StyleGAN,GoogleNet,ClippedReLU,SGDM,0.0001,"0.8366533864541833
"
KDEF,StyleGAN,GoogleNet,ClippedReLU,RMSProp,0.0001,"0.7370517928286853
"
KDEF,StyleGAN,GoogleNet,ClippedReLU,Adam,0.0001,"0.6613545816733067
"
KDEF,StyleGAN,GoogleNet,ReLU,SGDM,0.0001,"0.848605577689243
"
KDEF,StyleGAN,GoogleNet,ReLU,RMSProp,0.0001,"0.7171314741035857
"
KDEF,StyleGAN,GoogleNet,ReLU,Adam,0.0001,"0.6772908366533864
"
MMI,VAE,ResNet 50,LeakyReLU,SGDM,1e-05,"0.625
"
MMI,VAE,ResNet 50,LeakyReLU,RMSProp,"1e-05
","0.65
"
MMI,VAE,ResNet 50,LeakyReLU,RMSProp,"0.0001
","0.6875
"
MMI,VAE,ResNet 50,LeakyReLU,Adam,"1e-05
","0.675
"
MMI,VAE,ResNet 50,LeakyReLU,Adam,"0.0001
","0.6375
"
MMI,VAE,ResNet 50,ClippedReLU,SGDM,1e-05,"0.6375
"
MMI,VAE,ResNet 50,ClippedReLU,RMSProp,"1e-05
","0.6
"
MMI,VAE,ResNet 50,ClippedReLU,RMSProp,"0.0001
","0.575
"
MMI,VAE,ResNet 50,ClippedReLU,Adam,"1e-05
","0.625
"
MMI,VAE,ResNet 50,ClippedReLU,Adam,"0.0001
","0.65
"
MMI,VAE,ResNet 50,ReLU,SGDM,1e-05,"0.6125
"
MMI,VAE,ResNet 50,ReLU,RMSProp,"1e-05
","0.6125
"
MMI,VAE,ResNet 50,ReLU,RMSProp,"0.0001
","0.6375
"
MMI,VAE,ResNet 50,ReLU,Adam,"1e-05
","0.4625
"
MMI,VAE,ResNet 50,ReLU,Adam,"0.0001
","0.6375
"
MMI,VAE,AlexNet,LeakyReLU,SGDM,1e-05,"0.5875
"
MMI,VAE,AlexNet,LeakyReLU,RMSProp,"1e-05
","0.675
"
MMI,VAE,AlexNet,LeakyReLU,RMSProp,"0.0001
","0.6125
"
MMI,VAE,AlexNet,LeakyReLU,Adam,"1e-05
","0.6625
"
MMI,VAE,AlexNet,LeakyReLU,Adam,"0.0001
","0.6375
"
MMI,VAE,AlexNet,ClippedReLU,SGDM,1e-05,"0.65
"
MMI,VAE,AlexNet,ClippedReLU,RMSProp,"1e-05
","0.65
"
